ID,Best_EPS_Spatial,Best_EPS_Temporal,Best_MIN_SAMPLES,Score,Cluster_Count,Rows,Noise_Count
p1,0.07032131230716462,0.5592300000000022,3,0.435730748917387,577,6017,887
p3,0.04946665438477984,0.952380000000062,3,0.3520867267447224,795,7893,2214
p4,0.06676837843137566,0.4389000000000464,3,0.4481700747973637,526,6137,897
p5,0.05776584296300104,0.5259099999999307,3,0.4315335498076879,503,4445,922
p6,0.07215519901516863,0.4756499999999732,3,0.3881390665927316,380,6388,402
p7,0.04182436871461849,0.6417500000001535,3,0.3062343560861343,1182,11442,4303
p8,0.04709114539611989,0.5616600000000366,3,0.38562749420803616,653,5587,1599
p9,0.05584935795770643,0.5700166666666102,3,0.3776721050657793,547,5549,1307
p10,0.06561472114958461,0.5018299999999999,3,0.43748500715310595,837,8713,1251
p11,0.04816355546143258,0.6772500000000491,3,0.3732536778817673,325,2837,816
p12,0.052524772905279876,0.8160900000000169,3,0.36753540153516645,553,5776,1406
p13,0.04914899145918411,0.5201699999999391,3,0.4092059572245545,574,4910,1223
p14,0.050476698625332196,0.6889499999999771,3,0.36809158947289944,1115,10509,2881
p15,0.041910824723161294,0.7924633333333257,3,0.317945329723127,464,4352,1504
p16,0.04663000060234035,0.5159699999999986,3,0.3756944366951503,527,5229,1306
p17,0.05167891893218522,0.6332399999998415,3,0.3925181442895729,629,5803,1480
p18,0.049108562548736086,0.8839300000000738,3,0.3602005791804006,817,8191,2168
p19,0.05522191773285434,0.5467100000000414,3,0.4213770179263713,651,5497,1320
p20,0.06439791503204126,0.5710900000000227,3,0.4242927982872612,443,5600,513
p21,0.06964057372394473,0.5257700000000056,3,0.42063929779924725,666,7866,994
p22,0.048533741529819915,0.6992866666667472,3,0.3531746096259633,600,5890,1686
p23,0.05661250829585442,0.5791400000000066,3,0.38869400918215546,572,6345,1199
p24,0.049478514331404475,0.776136666666675,3,0.37984729914096454,623,5527,1497
p25,0.04076625993896586,0.9657699999999523,3,0.30474039646814266,893,8756,3065
p26,0.06405900084151556,0.6436800000000857,3,0.42124679159674144,628,6049,1175
p27,0.04526130882890995,0.757949999999992,3,0.2898210714502535,217,1947,788
p28,0.0613180008436463,0.5126799999999889,3,0.4411916509091374,614,6615,894
p29,0.06190175834248829,0.5084800000000086,3,0.4024210991941357,1336,15066,2602
p30,0.0472782469095456,1.0678200000000515,3,0.2759048512380112,981,9768,3556
p31,0.06356366205749595,0.5203100000000631,3,0.43943706537155436,580,6309,804
p32,0.06110659360120816,0.5030900000000883,3,0.4230503079484884,1003,11017,1621
p33,0.03500990463550281,0.4718000000000643,3,0.33957263627507095,833,7357,2689
p34,0.04467528762522085,0.46815999999999813,3,0.3981670612822437,655,6525,1562
p35,0.03961473671410463,0.9353500000000509,3,0.29092113146973475,946,9002,3538
p36,0.07078515327669227,0.6468300000000113,3,0.40638473769534234,435,4980,784
p37,0.05835918750203438,0.6279166666665976,3,0.430841085797359,508,4636,971
p38,0.06242102518418481,0.5224100000000135,3,0.40773099262206397,452,4910,825
